time,commit,label,server,scenario,metric,value
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_64,p50_us,380
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_64,p99_us,494
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_64,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_64,rss_mib,2.6
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_64,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_64,cpu_us_per_op,16.17
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,bulk_1,mib_per_sec,1227.9
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,bulk_1,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,bulk_1,rss_mib,2.1
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,bulk_1,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,bulk_1,cpu_us_per_op,1196.4
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,bulk_16,mib_per_sec,1467.0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,bulk_16,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,bulk_16,rss_mib,2.3
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,bulk_16,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,bulk_16,cpu_us_per_op,1128.13
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,churn_32,conns_per_sec,37380
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,churn_32,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,churn_32,rss_mib,2.5
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,churn_32,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,churn_32,cpu_us_per_op,27.61
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,hold_10000,max_open_conns,10000
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,hold_10000,hit_limit,False
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,hold_10000,rss_mib,55.7
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,hold_10000,server_survived,True
